"","activity","subject","Time_Body_Acceleration_mean","Time_Gravity_Acceleration_mean","Time_Body_AccelerationJerk_mean","Time_Body_Gyroscope_mean","Time_Body_GyroscopeJerk_mean","Time_Body_Mags__mean","Time_Gravity_AccelerationMag_mean","Time_Body_Acceleration_Jerk_Mags__mean","Time_Body_GyroscopeMag_mean","Time_Body_GyroscopeJerkMag_mean","Frequency_Body_Acceleration_mean","Frequency_Body_AccelerationJerk_mean","Frequency_Body_Gyroscope_mean","Frequency_Body_AccelerationMag_mean","Frequency_Body_AccelerationJerkMag_mean","Frequency_Body_GyroscopeMag_mean","Frequency_Body_GyroscopeJerkMag_mean","Time_Body_Acceleration_std_deviation","Time_Gravity_Acceleration_std_deviation","Time_Body_AccelerationJerk_std_deviation","Time_Body_Gyroscope_std_deviation","Time_Body_GyroscopeJerk_std_deviation","Time_Body_Mags__std_deviation","Time_Gravity_AccelerationMag_std_deviation","Time_Body_Acceleration_Jerk_Mags__std_deviation","Time_Body_GyroscopeMag_std_deviation","Time_Body_GyroscopeJerkMag_std_deviation","Frequency_Body_Acceleration_std_deviation","Frequency_Body_AccelerationJerk_std_deviation","Frequency_Body_Gyroscope_std_deviation","Frequency_Body_AccelerationMag_std_deviation","Frequency_Body_AccelerationJerkMag_std_deviation","Frequency_Body_GyroscopeMag_std_deviation","Frequency_Body_GyroscopeJerkMag_std_deviation"
"1","LAYING",1,0.22159824394,-0.24888179828,0.0810865342,-0.016553093978,-0.107270949192,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.9570738838,-0.850249174586,-0.8617676481,-0.9333003608,-0.8621901854,-0.9423669466,-0.9280564692,-0.8968300184,-0.958482112,-0.87354386782,-0.9186085208,-0.79514486386,-0.79514486386,-0.9282456284,-0.81901016976,-0.9358409828,-0.9244374346,-0.9641607086,-0.8822964508,-0.7983009404,-0.9218039756,-0.82431943968,-0.9326606676
"2","LAYING",2,0.281373403958333,-0.509754238125,0.0825972511666667,-0.01847660675,-0.101974134208333,-0.977435485208333,-0.977435485208333,-0.987741696041667,-0.950011569583333,-0.991767074166667,-0.976725059791667,-0.985813630833333,-0.9864311425,-0.975110196458333,-0.985374114791667,-0.972112972708333,-0.990248702291667,-0.974059464791667,-0.959014441458333,-0.98587216875,-0.988275232916667,-0.993235849166667,-0.972873912916667,-0.972873912916667,-0.98551807625,-0.961164053958333,-0.989718095208333,-0.973246482083333,-0.987250255833333,-0.988860685833333,-0.975121387916667,-0.984568489166667,-0.96109837875,-0.989492660416667
"3","LAYING",3,0.275516852741935,-0.241758478064516,0.0769811125806452,-0.0208170540330645,-0.10004449883871,-0.972791346129032,-0.972791346129032,-0.979484593387097,-0.951564751451613,-0.98671362516129,-0.980665609032258,-0.980513202258064,-0.970167262903226,-0.96552427516129,-0.975949597903226,-0.96458672483871,-0.984278251290323,-0.982776639193548,-0.982512193064516,-0.98087931483871,-0.974545752096774,-0.980328645,-0.964218176451613,-0.964218176451613,-0.976121297903226,-0.954275110967742,-0.983139255645161,-0.983691129032258,-0.983122615967742,-0.975986433709677,-0.968350217419355,-0.975305377903226,-0.955441855806452,-0.982568158064516
"4","LAYING",4,0.263559214981481,-0.420664662222222,0.0934494217777778,-0.00923156347222222,-0.105019877685185,-0.954557603148148,-0.954557603148148,-0.970095771666667,-0.930236462592593,-0.985068502037037,-0.958802077592593,-0.978542457407407,-0.967203736481482,-0.939389701296296,-0.96228712537037,-0.961556660185185,-0.983609073333333,-0.954193738888889,-0.921199965925926,-0.978302781111111,-0.973102422222222,-0.975103204259259,-0.931292216611111,-0.931292216611111,-0.960786430740741,-0.947031781666667,-0.982698213703704,-0.952464881481481,-0.980079292592593,-0.975094739444444,-0.937187975962963,-0.958037119259259,-0.947100325185185,-0.982543631666667
"5","LAYING",5,0.278334325576923,-0.483470597692308,0.0848164824230769,-0.0218935013501923,-0.102114125,-0.966777882884615,-0.966777882884615,-0.980141253846154,-0.946938300576923,-0.9864194225,-0.968741678461538,-0.982689657115385,-0.975797491730769,-0.962234984038462,-0.977356379807692,-0.968257068846154,-0.984618025769231,-0.965934509615385,-0.945695336153846,-0.983307862115385,-0.979498706538461,-0.983422257692308,-0.958612786346154,-0.958612786346154,-0.977477145384615,-0.958287921923077,-0.98377138,-0.964953893653846,-0.985625270384615,-0.980705769807692,-0.962525369423077,-0.976381934807692,-0.959263063269231,-0.983434493076923
"6","LAYING",6,0.248656520140351,-0.47670987877193,0.0963481955263158,-0.0079605026754386,-0.111267284631579,-0.918878850824561,-0.918878850824561,-0.954750504912281,-0.908980174736842,-0.955645738245614,-0.939114254210526,-0.967072436842105,-0.935439769649123,-0.91235165222807,-0.948655471052632,-0.930153639473684,-0.953695957368421,-0.934049422052632,-0.887746310350877,-0.966341054736842,-0.955378225087719,-0.939611608245614,-0.897326245964912,-0.897326245964912,-0.950341934385965,-0.920914497017544,-0.953157001578947,-0.932462941461404,-0.968619159473684,-0.962164978596491,-0.905373979824561,-0.951552664035088,-0.928694890175439,-0.955504654561404
"7","LAYING",7,0.250176694038462,-0.502814250576923,0.0968904018076923,-0.00282641913096154,-0.105944243484615,-0.936392023846154,-0.936392023846154,-0.980127239615385,-0.915793634807692,-0.983008829038462,-0.953424245576923,-0.980393046923077,-0.953684547692308,-0.927976880634615,-0.968066259230769,-0.941130719230769,-0.974117912115385,-0.93651361,-0.914221270096154,-0.980977756153846,-0.9601268225,-0.9738372325,-0.907039513153846,-0.907039513153846,-0.967310932307692,-0.918662459038462,-0.971205137884615,-0.931120580576923,-0.983560175384615,-0.962348254423077,-0.910542462919231,-0.965359228076923,-0.918892518653846,-0.969403035384615
"8","LAYING",8,0.261254282907407,-0.405930036111111,0.0878326902592593,0.00535361206851852,-0.106445008314815,-0.935308633888889,-0.935308633888889,-0.97314748962963,-0.924253348518518,-0.978438191296296,-0.953538563888889,-0.973110596111111,-0.957903886111111,-0.932279645518518,-0.961792852407407,-0.944528950555556,-0.968403945925926,-0.94304121537037,-0.918873192333333,-0.973253042222222,-0.965204017592593,-0.969924077407407,-0.91325033,-0.91325033,-0.962954517222222,-0.932470764444444,-0.969029111666667,-0.940125298333333,-0.975959911481481,-0.967846360740741,-0.917257979425926,-0.963791094259259,-0.93678697,-0.971793279814815
"9","LAYING",9,0.2591955368,-0.5802528348,0.08807344764,-0.013632036148,-0.10384667982,-0.9308684376,-0.9308684376,-0.9633745492,-0.9071250998,-0.964524819,-0.946865494,-0.964304065,-0.930297921,-0.9266042952,-0.9543205856,-0.9186053356,-0.9558062546,-0.94233309,-0.9218210626,-0.9647404702,-0.9422465098,-0.945329035,-0.91512680016,-0.91512680016,-0.9550268052,-0.8985578738,-0.9528015598,-0.9409810272,-0.9686013042,-0.9463891504,-0.921929738394,-0.9550947122,-0.9034005814,-0.9522904702
"10","LAYING",10,0.280230574137931,-0.453069737586207,0.073815064487931,-0.019555937162069,-0.100308254413793,-0.956781819655172,-0.956781819655172,-0.976234435172414,-0.937590998793103,-0.970830848965517,-0.96918420862069,-0.979014668793104,-0.953793912068965,-0.950848109137931,-0.968561121551724,-0.937692642586207,-0.960976821551724,-0.968283685,-0.954531941896552,-0.978007466724138,-0.961713199827586,-0.965900578103448,-0.940301654482759,-0.940301654482759,-0.967556980689655,-0.927471165517241,-0.959632931551724,-0.96796803862069,-0.978904364137931,-0.96454456637931,-0.944304974655172,-0.965377553448276,-0.933701315344828,-0.960772875517241
